,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ulica [nazwa skrócona],Ulica [nazwa pe?na],Numery,Dzielnica,Pn,Wt,?r,Cz,Pt,So,Pn,Wt,?r,Cz,Pt,So,Pn,Wt,?r,Cz,Pt,So,sek.
Powro?nicza,Powro?nicza,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Po?arnicza,Po?arnicza,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Profesorska,Profesorska,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Promowa,Promowa,,PRZERÓBKA,,,,,,,,,,,,,,,,,,,2
Przemys?owa,Przemys?owa,,NOWY PORT,,,,,,,,,,,,,,,,,,,2
Przesmyk,Przesmyk,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Przetoczna,Przetoczna,,PRZERÓBKA,,x,,,x,,x,,,x,,,,x,,,x,,2
Prz?dzalnicza,Prz?dzalnicza,,?RÓDMIE?CIE,x,x,x,x,x,,x,,x,,x,,x,x,x,x,x,,2
Przyjació?,Przyjació?,,NOWY PORT,,,,,,,,,,,,,,,,,,,2
Przyokopowa,Przyokopowa,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Pszenna,Pszenna,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Radna,Radna,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Rajska,Rajska,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Reduta Dzik,Reduta Dzik,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Reduta Miejska,Reduta Miejska,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Reduta Mi?,Reduta Mi?,,?RÓDMIE?CIE,x,,,x,,,x,,x,,x,,x,,,x,,,2
Reduta Wilk,Reduta Wilk,,?RÓDMIE?CIE,x,,,x,,,x,,x,,x,,x,,,x,,,2
Reduta Wyskok,Reduta Wyskok,,?RÓDMIE?CIE,x,,,x,,,x,,x,,x,,x,,,x,,,2
Reduta ?bik,Reduta ?bik,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Refektarska,Refektarska,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Reja,Miko?aja Reja,24 do ko?ca parz. ca?o?? nieparzyste,M?YNISKA,x,,x,,x,,,x,,,x,,x,,x,,x,,2
Robotnicza,Robotnicza,,?RÓDMIE?CIE,,x,,x,,x,x,,x,,x,,,x,,x,,x,2
Rogaczewskiego,ks. Franciszka Rogaczewskiego,,?RÓDMIE?CIE,,x,,,x,,x,,x,,x,,,x,,,x,,2
Roz?ogi,Roz?ogi,,STOGI ,x,,x,,x,,x,,,x,,,x,,x,,x,,2
Ró?ana,Ró?ana,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Rybackie Pobrze?e,Rybackie Pobrze?e,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Rybaki Dolne,Rybaki Dolne,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Rybaki Górne,Rybaki Górne,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Rybitwy,Rybitwy,,LETNICA,x,,x,,x,,,x,,,x,,x,,x,,x,,2
Rybna,Rybna,,STOGI ,x,,,x,,,x,,,x,,,x,,,x,,,2
