,,Lokalizacja,,,,,
Lp,Dzielnica,Ulica,Numer,Opis,Data,Godzina przyjazdu,Godzina odjazdu
194,Ujeścisko-Łostowice,ul. Porębskiego,70 - centrum osiedla,(w pobliżu sklepu EMI),27.09.2014,13:15,13:30
195,Ujeścisko-Łostowice,ul. Pienińska,,(plac przy posesji nr 17),27.09.2014,13:35,13:50
196,Ujeścisko-Łostowice,ul. Bieszczadzka,,(obok posesji nr 3),27.09.2014,14:05,14:20
197,Ujeścisko-Łostowice,ul. Guderskiego,1,(parking od szczytu budynku),27.09.2014,14:30,14:45
198,Ujeścisko-Łostowice,ul. Wiewiórcza,78,(plac piaskowy przy posesji ul. Wiewiórcza 78),11.10.2014,08:50,09:05
199,VII Dwór,ul. Norblina,,(parking przy aptece),11.10.2014,13:10,13:25
200,VII Dwór,ul. Michałowskiego,37,(parking przy sklepie),11.10.2014,13:30,13:45
201,Wrzeszcz Dolny,ul. Okrzei,4,(obok pojemników do selektywnej zbiórki),11.10.2014,08:50,09:05
202,Wrzeszcz Dolny,ul. Lelewela,17A,(przy rz. Strzyża),11.10.2014,09:15,09:30
203,Wrzeszcz Dolny,ul. Biała,3,(garaże na podwórku vis a vis kl. C),11.10.2014,09:35,09:50
204,Wrzeszcz Dolny,ul. Nad Stawem,8/2,(plac naprzeciwko budynku),11.10.2014,09:55,10:10
205,Wrzeszcz Dolny,ul. Wrzeszczańska,4,(parking naprzeciwko budynku),18.10.2014,08:30,08:45
206,Wrzeszcz Dolny,ul. Racławicka,7A,(plac przy poczcie),18.10.2014,08:50,09:05
207,Wrzeszcz Dolny,ul. Mickiewicza,18,(trafostacja na podwórku wjazd od ul. Zbyszka z Bogdańca),18.10.2014,09:10,09:25
208,Wrzeszcz Dolny,ul. L. Wenedy,18,(za apteką),18.10.2014,09:30,09:45
209,Wrzeszcz Dolny,ul. Chrobrego,78,(parking za garażem podziemnym),18.10.2014,09:50,10:05
210,Wrzeszcz Górny,ul. Sobieskiego,,(pomiedzy budynkami 8 i 12),04.10.2014,11:55,12:10
211,Wrzeszcz Górny,ul. Piramowicza,1/2,"(dziedziniec przed Bursą, wjazd przez bramę do Conradinum)",11.10.2014,08:30,08:45
212,Wrzeszcz Górny,ul. Dmowskiego,9,(chodnik),11.10.2014,10:20,10:35
213,Wrzeszcz Górny,ul. Batorego,39,(parking od ul. Partyzantów),11.10.2014,10:45,11:00
214,Wrzeszcz Górny,ul. Współczesna,3A,(przed budynkiem wielorodzinnym),11.10.2014,11:05,11:20
215,Wrzeszcz Górny,ul. R. Ostrowskiej,2,(przy boisku),11.10.2014,11:25,11:40
216,Wrzeszcz Górny,ul. Słowackiego,"67,69, 71",,11.10.2014,13:55,14:10
217,Wrzeszcz Górny,ul. Trawki,9,(parking),11.10.2014,14:15,14:30
218,Wyspa Sobieszewska,ul. Ornitologów,,"(naprzeciwko sklepu spożywczego, obok pojemników do selektywnej zbiórki)",25.10.2014,09:00,09:15
219,Wyspa Sobieszewska,ul. Tęczowa,23,(szczyt budynku),25.10.2014,09:20,09:35
220,Wyspa Sobieszewska,ul. Turystyczna,12,(plac przy budynku),25.10.2014,09:40,09:55
221,Wyspa Sobieszewska,ul. Kwiatowa,16,(szczyt budynku),25.10.2014,10:05,10:20
222,Wyspa Sobieszewska,ul. Świbnieńska,198H,(pojemniki selektywnej zbiórki od szczytu budynku),25.10.2014,10:25,10:40
223,Wzgórze Mickiewicza,róg ul. Dameyki i Zosi,,,04.10.2014,09:30,09:45
224,Wzgórze Mickiewicza,róg ul Wojskiego i Soplicy,,,04.10.2014,09:50,10:05
225,Wzgórze Mickiewicza,róg ul. Asesora i Podkomorzego,,,04.10.2014,10:10,10:25
226,Zaspa-  Młyniec,ul. Startowa,13,(zatoka postojowa),18.10.2014,12:15,12:30
227,Zaspa-  Młyniec,ul. Pilotów,16,(zatoka postojowa klatka C),18.10.2014,12:35,12:50
228,Zaspa-  Młyniec,ul. Pilotów,10,"(na wysokości klubu ""Plama"")",18.10.2014,12:55,13:10
229,Zaspa-  Młyniec,ul. Startowa,7,(zatoka postojowa klatka E),18.10.2014,13:15,13:30
230,Zaspa-  Młyniec,ul. Dywizojonu,303 9D,(zatoka postojowa),18.10.2014,13:35,13:50
231,Zaspa-  Młyniec,ul. Nagórskiego,9,(przy parkingu strzeżonym),18.10.2014,13:55,14:10
232,Zaspa-  Młyniec,ul. Skarżyńskiego,10B,(zatoka postojowa),18.10.2014,14:15,14:30
233,Zaspa-  Młyniec,ul. Skarżyńskiego,3,(parking osiedla),18.10.2014,14:35,14:50
234,Zaspa- Rozstaje,ul. Ciołkowskiego,5,(parking),18.10.2014,10:10,10:25
235,Zaspa- Rozstaje,ul. Leszczyńskich,3,(przy altanie),18.10.2014,10:30,10:45
236,Zaspa- Rozstaje,ul. Kombatantów,1A,,18.10.2014,10:50,11:05
237,Zaspa- Rozstaje,al. Jana Pawła II,27,(przy hydroforni),18.10.2014,11:10,11:25
238,Zaspa- Rozstaje,ul. Meissnera,,(przy sklepie Biedronka),18.10.2014,11:30,11:45
239,Zaspa- Rozstaje,ul. Burzyńskiego,6,(koło hydroforni),18.10.2014,11:50,12:05
240,Żabianka-Wejhera-Jelitkowo-Tysiąclecia,ul. Wypoczynkowa,30,(obok budynku),18.10.2014,08:30,08:45
241,Żabianka-Wejhera-Jelitkowo-Tysiąclecia,ul. Orłowska,9,(parking),18.10.2014,08:30,08:45
242,Żabianka-Wejhera-Jelitkowo-Tysiąclecia,ul. Gospody,17,(obok pojemników selektywnej zbiórki),18.10.2014,08:50,09:05
243,Żabianka-Wejhera-Jelitkowo-Tysiąclecia,ul. Gospody,5,(parking przy mini targowisku),18.10.2014,09:10,09:25
244,Żabianka-Wejhera-Jelitkowo-Tysiąclecia,ul. Gospody,14,(parking przed blokiem),18.10.2014,09:30,09:45
245,Żabianka-Wejhera-Jelitkowo-Tysiąclecia,ul. Gospody,23,(parking za altana przy ul. Gospody 19A),18.10.2014,09:50,10:05
246,Żabianka-Wejhera-Jelitkowo-Tysiąclecia,ul. Szyprów,5,(parking przed blokiem),18.10.2014,10:10,10:25
247,Żabianka-Wejhera-Jelitkowo-Tysiąclecia,ul. Subisława,23,(parking przed blokiem),18.10.2014,10:30,10:45
248,Żabianka-Wejhera-Jelitkowo-Tysiąclecia,ul. Pomorska,14/15,(parking przed blokiem),18.10.2014,10:50,11:05
249,Żabianka-Wejhera-Jelitkowo-Tysiąclecia,ul. Pomorska,82,(parking przy kotłowni),18.10.2014,11:10,11:25
250,Żabianka-Wejhera-Jelitkowo-Tysiąclecia,ul. Pomorska,21/18,(parking przed blokiem),18.10.2014,11:30,11:45
251,usunięto,,,,,,
252,nowa dzielnica,nowa ulica,,obok sklepu,,,
